symbol	date	closing_price
AAPL	2015-01-23	112.98
AAPL	2015-01-22	112.4
AAPL	2015-01-21	109.55
AAPL	2015-01-20	108.72
AAPL	2015-01-16	105.99
AAPL	2015-01-15	106.82
AAPL	2015-01-14	109.8
AAPL	2015-01-13	110.22
AAPL	2015-01-12	109.25
AAPL	2015-01-09	112.01
AAPL	2015-01-08	111.89
AAPL	2015-01-07	107.75
AAPL	2015-01-06	106.26
AAPL	2015-01-05	106.25
AAPL	2015-01-02	109.33
AAPL	2014-12-31	110.38
AAPL	2014-12-30	112.52
AAPL	2014-12-29	113.91
AAPL	2014-12-26	113.99
AAPL	2014-12-24	112.01
AAPL	2014-12-23	112.54
AAPL	2014-12-22	112.94
AAPL	2014-12-19	111.78
AAPL	2014-12-18	112.65
AAPL	2014-12-17	109.41
AAPL	2014-12-16	106.75
AAPL	2014-12-15	108.23
AAPL	2014-12-12	109.73
AAPL	2014-12-11	111.62
AAPL	2014-12-10	111.95
AAPL	2014-12-09	114.12
AAPL	2014-12-08	112.4
AAPL	2014-12-05	115
AAPL	2014-12-04	115.49
AAPL	2014-12-03	115.93
AAPL	2014-12-02	114.63
AAPL	2014-12-01	115.07
AAPL	2014-11-28	118.93
AAPL	2014-11-26	119
AAPL	2014-11-25	117.6
AAPL	2014-11-24	118.63
AAPL	2014-11-21	116.47
AAPL	2014-11-20	116.31
AAPL	2014-11-19	114.67
AAPL	2014-11-18	115.47
AAPL	2014-11-17	113.99
AAPL	2014-11-14	114.18
AAPL	2014-11-13	112.82
AAPL	2014-11-12	111.25
AAPL	2014-11-11	109.7
AAPL	2014-11-10	108.83
AAPL	2014-11-07	109.01
AAPL	2014-11-06	108.7
AAPL	2014-11-05	108.39
AAPL	2014-11-04	108.13
AAPL	2014-11-03	108.93
AAPL	2014-10-31	107.53
AAPL	2014-10-30	106.52
AAPL	2014-10-29	106.88
AAPL	2014-10-28	106.28
AAPL	2014-10-27	104.66
AAPL	2014-10-24	104.77
AAPL	2014-10-23	104.38
AAPL	2014-10-22	102.55
AAPL	2014-10-21	102.03
AAPL	2014-10-20	99.33
AAPL	2014-10-17	97.25
AAPL	2014-10-16	95.84
AAPL	2014-10-15	97.12
AAPL	2014-10-14	98.32
AAPL	2014-10-13	99.38
AAPL	2014-10-10	100.3
AAPL	2014-10-09	100.58
AAPL	2014-10-08	100.36
AAPL	2014-10-07	98.32
AAPL	2014-10-06	99.19
AAPL	2014-10-03	99.19
AAPL	2014-10-02	99.47
AAPL	2014-10-01	98.75
AAPL	2014-09-30	100.32
AAPL	2014-09-29	99.68
AAPL	2014-09-26	100.32
AAPL	2014-09-25	97.45
AAPL	2014-09-24	101.31
AAPL	2014-09-23	102.2
AAPL	2014-09-22	100.62
AAPL	2014-09-19	100.52
AAPL	2014-09-18	101.35
AAPL	2014-09-17	101.14
AAPL	2014-09-16	100.42
AAPL	2014-09-15	101.19
AAPL	2014-09-12	101.22
AAPL	2014-09-11	100.99
AAPL	2014-09-10	100.56
AAPL	2014-09-09	97.57
AAPL	2014-09-08	97.94
AAPL	2014-09-05	98.54
AAPL	2014-09-04	97.7
AAPL	2014-09-03	98.51
AAPL	2014-09-02	102.85
AAPL	2014-08-29	102.06
AAPL	2014-08-28	101.81
AAPL	2014-08-27	101.69
AAPL	2014-08-26	100.45
AAPL	2014-08-25	101.1
AAPL	2014-08-22	100.88
AAPL	2014-08-21	100.15
AAPL	2014-08-20	100.14
